R=20  K=20  area_points=1600  ESS_threshold=0.75  M_prop=20
N k algorithm success collapse mean_true_paired mean_PF bias abs_bias paired_MCSE
1000 4 A5_empirical_optimal 20 0 1.329369 1.202562 -0.126807 0.126807 0.163659
1000 5 A5_empirical_optimal 20 0 1.173789 1.095264 -0.078526 0.078526 0.135074
1000 6 A5_empirical_optimal 20 0 0.859933 0.922866 0.062933 0.062933 0.129823
1000 7 A5_empirical_optimal 20 0 1.456614 1.446718 -0.009896 0.009896 0.153812
1000 8 A5_empirical_optimal 20 0 1.288735 1.359496 0.070762 0.070762 0.166667
1000 9 A5_empirical_optimal 20 0 0.803225 0.894756 0.091531 0.091531 0.094156
1000 10 A5_empirical_optimal 20 0 1.245149 1.378861 0.133712 0.133712 0.122256
1000 11 A5_empirical_optimal 20 0 0.749634 0.794713 0.045079 0.045079 0.066494
1000 12 A5_empirical_optimal 20 0 0.890661 0.979739 0.089078 0.089078 0.091953
1000 13 A5_empirical_optimal 20 0 0.846449 1.041020 0.194570 0.194570 0.081001
1000 14 A5_empirical_optimal 20 0 1.057220 1.393930 0.336710 0.336710 0.098075
1000 15 A5_empirical_optimal 20 0 1.108700 1.423288 0.314588 0.314588 0.086649
1000 16 A5_empirical_optimal 20 0 1.359917 1.602353 0.242437 0.242437 0.193358
1000 17 A5_empirical_optimal 20 0 0.749903 1.010673 0.260770 0.260770 0.088346
1000 18 A5_empirical_optimal 20 0 1.076956 1.314815 0.237859 0.237859 0.049858
1000 19 A5_empirical_optimal 20 0 0.626364 0.883829 0.257464 0.257464 0.090421
1000 20 A5_empirical_optimal 20 0 0.788123 1.022416 0.234293 0.234293 0.077269
2000 1 A3_local 20 0 0.981617 1.398852 0.417234 0.417234 0.166106
2000 2 A3_local 20 0 1.315387 2.373756 1.058369 1.058369 0.526058
2000 3 A3_local 20 0 0.834986 1.370088 0.535103 0.535103 0.184313
2000 4 A3_local 20 0 1.329369 1.877090 0.547721 0.547721 0.240301
2000 5 A3_local 20 0 1.173789 1.483009 0.309220 0.309220 0.091990
2000 6 A3_local 20 0 0.859933 1.167542 0.307610 0.307610 0.163473
2000 7 A3_local 20 0 1.456614 2.081635 0.625021 0.625021 0.279689
2000 8 A3_local 20 0 1.288735 1.865215 0.576480 0.576480 0.207222
2000 9 A3_local 20 0 0.803225 1.196409 0.393184 0.393184 0.107669
2000 10 A3_local 20 0 1.245149 1.883933 0.638784 0.638784 0.212010
2000 11 A3_local 20 0 0.749634 0.971588 0.221954 0.221954 0.088334
2000 12 A3_local 20 0 0.890661 1.266808 0.376148 0.376148 0.088972
2000 13 A3_local 20 0 0.846449 1.443645 0.597196 0.597196 0.253023
2000 14 A3_local 20 0 1.057220 1.927396 0.870176 0.870176 0.261571
2000 15 A3_local 20 0 1.108700 1.772309 0.663609 0.663609 0.161054
2000 16 A3_local 20 0 1.359917 2.192327 0.832410 0.832410 0.177700
2000 17 A3_local 20 0 0.749903 1.437812 0.687909 0.687909 0.239238
2000 18 A3_local 20 0 1.076956 1.904816 0.827860 0.827860 0.370755
2000 19 A3_local 20 0 0.626364 1.022415 0.396051 0.396051 0.095345
2000 20 A3_local 20 0 0.788123 1.305258 0.517135 0.517135 0.175272
2000 1 A4_full 20 0 0.981617 0.934472 -0.047146 0.047146 0.120572
2000 2 A4_full 20 0 1.315387 1.185443 -0.129943 0.129943 0.162036
2000 3 A4_full 20 0 0.834986 0.804830 -0.030156 0.030156 0.098932
2000 4 A4_full 20 0 1.329369 1.201214 -0.128155 0.128155 0.174016
2000 5 A4_full 20 0 1.173789 1.102075 -0.071715 0.071715 0.126565
2000 6 A4_full 20 0 0.859933 0.901413 0.041480 0.041480 0.107113
2000 7 A4_full 20 0 1.456614 1.389977 -0.066636 0.066636 0.173595
2000 8 A4_full 20 0 1.288735 1.379050 0.090315 0.090315 0.138584
2000 9 A4_full 20 0 0.803225 0.946524 0.143299 0.143299 0.089543
2000 10 A4_full 20 0 1.245149 1.375279 0.130130 0.130130 0.098212
2000 11 A4_full 20 0 0.749634 0.797596 0.047962 0.047962 0.059821
2000 12 A4_full 20 0 0.890661 0.985605 0.094944 0.094944 0.095858
2000 13 A4_full 20 0 0.846449 1.207064 0.360615 0.360615 0.144450
2000 14 A4_full 20 0 1.057220 1.487959 0.430739 0.430739 0.127286
2000 15 A4_full 20 0 1.108700 1.513572 0.404872 0.404872 0.127426
2000 16 A4_full 20 0 1.359917 1.657502 0.297585 0.297585 0.161137
2000 17 A4_full 20 0 0.749903 1.056816 0.306913 0.306913 0.108337
2000 18 A4_full 20 0 1.076956 1.387990 0.311033 0.311033 0.089702
2000 19 A4_full 20 0 0.626364 0.858149 0.231784 0.231784 0.066170
2000 20 A4_full 20 0 0.788123 1.056013 0.267891 0.267891 0.099034
2000 1 A5_empirical_optimal 20 0 0.981617 0.934839 -0.046778 0.046778 0.121402
2000 2 A5_empirical_optimal 20 0 1.315387 1.180198 -0.135189 0.135189 0.148334
2000 3 A5_empirical_optimal 20 0 0.834986 0.789781 -0.045205 0.045205 0.112096
2000 4 A5_empirical_optimal 20 0 1.329369 1.202163 -0.127206 0.127206 0.164197
2000 5 A5_empirical_optimal 20 0 1.173789 1.021764 -0.152025 0.152025 0.132897
2000 6 A5_empirical_optimal 20 0 0.859933 0.955616 0.095683 0.095683 0.104653
2000 7 A5_empirical_optimal 20 0 1.456614 1.493547 0.036933 0.036933 0.294442
2000 8 A5_empirical_optimal 20 0 1.288735 1.328073 0.039338 0.039338 0.135352
2000 9 A5_empirical_optimal 20 0 0.803225 0.944504 0.141279 0.141279 0.108285
2000 10 A5_empirical_optimal 20 0 1.245149 1.425098 0.179949 0.179949 0.062415
2000 11 A5_empirical_optimal 20 0 0.749634 0.835255 0.085621 0.085621 0.045577
2000 12 A5_empirical_optimal 20 0 0.890661 1.011927 0.121266 0.121266 0.111343
2000 13 A5_empirical_optimal 20 0 0.846449 1.093698 0.247249 0.247249 0.080790
2000 14 A5_empirical_optimal 20 0 1.057220 1.372127 0.314907 0.314907 0.101818
2000 15 A5_empirical_optimal 20 0 1.108700 1.448237 0.339537 0.339537 0.106176
2000 16 A5_empirical_optimal 20 0 1.359917 1.591068 0.231151 0.231151 0.157480
2000 17 A5_empirical_optimal 20 0 0.749903 1.017404 0.267500 0.267500 0.097832
2000 18 A5_empirical_optimal 20 0 1.076956 1.261189 0.184232 0.184232 0.034734
2000 19 A5_empirical_optimal 20 0 0.626364 0.849887 0.223523 0.223523 0.088369
2000 20 A5_empirical_optimal 20 0 0.788123 1.051093 0.262971 0.262971 0.097313
4000 1 A3_local 20 0 0.981617 1.381448 0.399831 0.399831 0.167639
4000 2 A3_local 20 0 1.315387 2.244940 0.929554 0.929554 0.514556
4000 3 A3_local 20 0 0.834986 1.271093 0.436107 0.436107 0.188784
4000 4 A3_local 20 0 1.329369 1.800596 0.471227 0.471227 0.247238
4000 5 A3_local 20 0 1.173789 1.230084 0.056295 0.056295 0.082879
4000 6 A3_local 20 0 0.859933 1.001714 0.141782 0.141782 0.115032
4000 7 A3_local 20 0 1.456614 1.607748 0.151134 0.151134 0.194258
4000 8 A3_local 20 0 1.288735 1.776936 0.488202 0.488202 0.171182
4000 9 A3_local 20 0 0.803225 1.026688 0.223463 0.223463 0.082416
4000 10 A3_local 20 0 1.245149 1.828496 0.583347 0.583347 0.179985
4000 11 A3_local 20 0 0.749634 0.931852 0.182218 0.182218 0.060634
4000 12 A3_local 20 0 0.890661 1.103580 0.212919 0.212919 0.133786
4000 13 A3_local 20 0 0.846449 1.375755 0.529306 0.529306 0.267336
4000 14 A3_local 20 0 1.057220 1.755351 0.698131 0.698131 0.211983
4000 15 A3_local 20 0 1.108700 1.736002 0.627303 0.627303 0.173455
4000 16 A3_local 20 0 1.359917 2.126481 0.766564 0.766564 0.198533
4000 17 A3_local 20 0 0.749903 1.377282 0.627379 0.627379 0.224866
4000 18 A3_local 20 0 1.076956 1.825710 0.748753 0.748753 0.314520
4000 19 A3_local 20 0 0.626364 1.015460 0.389096 0.389096 0.146761
4000 20 A3_local 20 0 0.788123 1.301979 0.513857 0.513857 0.161422
4000 1 A4_full 20 0 0.981617 0.920778 -0.060839 0.060839 0.122117
4000 2 A4_full 20 0 1.315387 1.166651 -0.148736 0.148736 0.153295
4000 3 A4_full 20 0 0.834986 0.771034 -0.063951 0.063951 0.146819
4000 4 A4_full 20 0 1.329369 1.158482 -0.170887 0.170887 0.187343
4000 5 A4_full 20 0 1.173789 1.034304 -0.139485 0.139485 0.138961
4000 6 A4_full 20 0 0.859933 0.872369 0.012437 0.012437 0.123596
4000 7 A4_full 20 0 1.456614 1.427956 -0.028658 0.028658 0.201230
4000 8 A4_full 20 0 1.288735 1.268015 -0.020720 0.020720 0.142548
4000 9 A4_full 20 0 0.803225 0.908477 0.105252 0.105252 0.106747
4000 10 A4_full 20 0 1.245149 1.268732 0.023583 0.023583 0.103605
4000 11 A4_full 20 0 0.749634 0.750769 0.001135 0.001135 0.062044
4000 12 A4_full 20 0 0.890661 0.956982 0.066321 0.066321 0.088652
4000 13 A4_full 20 0 0.846449 1.006525 0.160076 0.160076 0.073846
4000 14 A4_full 20 0 1.057220 1.359302 0.302082 0.302082 0.129327
4000 15 A4_full 20 0 1.108700 1.280867 0.172167 0.172167 0.065477
4000 16 A4_full 20 0 1.359917 1.475263 0.115346 0.115346 0.218401
4000 17 A4_full 20 0 0.749903 1.003111 0.253208 0.253208 0.108364
4000 18 A4_full 20 0 1.076956 1.367867 0.290911 0.290911 0.134220
4000 19 A4_full 20 0 0.626364 0.837453 0.211089 0.211089 0.071350
