R=500  K=20  area_points=1600  ESS_threshold=0.75
N k algorithm success collapse mean_true_paired mean_PF bias abs_bias paired_MCSE
4000 17 A3_local 500 0 1.052191 1.490182 0.437991 0.437991 0.043275
4000 18 A3_local 500 0 0.974667 1.353797 0.379130 0.379130 0.034832
4000 19 A3_local 500 0 0.991992 1.406347 0.414355 0.414355 0.037431
4000 20 A3_local 500 0 1.017361 1.438671 0.421311 0.421311 0.038883
4000 1 A4_full 499 1 0.953994 0.983451 0.029457 0.029457 0.030636
4000 2 A4_full 499 1 0.998837 1.017206 0.018369 0.018369 0.028726
4000 3 A4_full 499 1 0.875818 0.938796 0.062978 0.062978 0.026103
4000 4 A4_full 499 1 1.042945 1.064076 0.021130 0.021130 0.027067
4000 5 A4_full 499 1 1.082204 1.112882 0.030679 0.030679 0.030435
4000 6 A4_full 499 1 0.973150 1.051682 0.078532 0.078532 0.023052
4000 7 A4_full 499 1 1.022086 1.113305 0.091219 0.091219 0.027828
4000 8 A4_full 499 1 1.035955 1.124088 0.088133 0.088133 0.026547
4000 9 A4_full 499 1 0.918755 1.003892 0.085137 0.085137 0.019210
4000 10 A4_full 499 1 0.970884 1.053391 0.082508 0.082508 0.022258
4000 11 A4_full 499 1 1.049762 1.205971 0.156209 0.156209 0.026077
4000 12 A4_full 499 1 1.058436 1.175681 0.117245 0.117245 0.027193
4000 13 A4_full 499 1 1.016047 1.103599 0.087552 0.087552 0.025324
4000 14 A4_full 499 1 0.966111 1.091421 0.125310 0.125310 0.021249
4000 15 A4_full 499 1 1.025254 1.157430 0.132176 0.132176 0.024777
4000 16 A4_full 499 1 1.012801 1.133787 0.120986 0.120986 0.027284
4000 17 A4_full 499 1 1.052594 1.200151 0.147557 0.147557 0.021870
4000 18 A4_full 499 1 0.972086 1.090547 0.118461 0.118461 0.022081
4000 19 A4_full 499 1 0.993282 1.166404 0.173121 0.173121 0.021621
4000 20 A4_full 499 1 1.014948 1.167848 0.152900 0.152900 0.021868
